bundesland; plz; ort; inbetriebnahmedatum; bruttoleistung; nettonennleistung; 
1409;32361;Preußisch Oldendorf;2025-09-15;12.740;12.000
1405;63500;Seligenstadt;2025-08-21;1.000;0.800
1410;53489;Sinzig;2025-09-01;5.740;4.600
1402;76532;Baden-Baden;2025-09-09;16.095;15.000
1402;88348;Bad Saulgau;2025-08-26;0.870;0.800
1414;06888;Lutherstadt Wittenberg;2025-09-15;1.000;0.800
1413;04769;Mügeln;2025-09-15;13.200;12.000
1407;19258;Gallin;--- NIX ---;70.970;60.000
1403;83435;Bad Reichenhall;2025-09-03;2.000;0.800
1409;51107;Köln;2025-09-01;0.800;0.800
1408;21365;Adendorf;2025-09-15;0.920;0.800
1414;39628;Bismark;2025-09-15;8.100;8.000
1403;97816;Lohr;--- NIX ---;7.200;7.200
1413;08301;Bad Schlema;2025-09-10;7.920;7.920
1408;27308;Kirchlinteln;2025-08-15;0.450;0.450
1412;66620;Nonnweiler;2025-09-15;30.030;25.000
1412;66450;Bexbach;2025-09-08;10.000;10.000
1403;91353;Hausen;2025-08-18;15.840;15.000
1402;79774;Albbruck;2025-09-15;14.570;14.570
1409;59510;Lippetal;2025-09-15;0.890;0.800
1408;49191;Belm;2025-09-13;0.880;0.800
1408;27367;Reeßum;2025-08-26;16.200;15.000
1403;82041;Oberhaching;2025-04-24;13.500;13.500
1409;33100;Paderborn;2025-08-18;1.580;0.800
1405;36145;Hofbieber;--- NIX ---;5.460;5.460
1409;41564;Kaarst;2025-09-15;0.800;0.800
1409;42349;Wuppertal;2025-09-10;15.340;15.000
1409;48727;Billerbeck;2025-09-05;10.800;10.000
1403;91359;Leutenbach;2025-06-16;0.800;0.800
1408;26188;Edewecht;2025-09-15;99.850;90.000
1403;97720;Nüdlingen;2025-09-02;5.520;4.200
1403;84367;Tann;2025-08-28;16.380;16.380
1409;44143;Dortmund;2025-09-12;5.460;5.460
1408;21423;Drage;2023-12-22;5.460;5.460
1410;54296;Trier;2025-09-15;9.500;9.500
1402;74626;Bretzfeld;--- NIX ---;12.600;10.000
1402;73527;Schwäbisch Gmünd;2025-09-15;11.000;10.000
1408;31249;Hohenhameln;2025-08-20;2.000;0.800
1408;21357;Wittorf;2025-07-17;10.320;10.000
1408;49828;Neuenhaus;2025-07-31;10.000;10.000
1403;96253;Untersiemau;2025-09-15;0.900;0.800
1414;39218;Schönebeck;2025-04-01;3.600;3.600
1408;38543;Hillerse;2025-09-15;0.800;0.800
1402;68794;Oberhausen-Rheinhausen;2025-09-19;14.850;12.000
1402;74722;Buchen;2025-09-15;0.830;0.800
1410;67813;Gerbach;2025-09-14;0.455;0.455
1400;15370;Fredersdorf-Vogelsdorf;2025-09-08;5.340;5.340
1410;54516;Wittlich;2025-09-05;10.350;8.000
1409;47906;Kempen;2025-09-15;0.800;0.800
1415;99096;Erfurt;2025-09-02;4.500;3.800
1406;22605;Hamburg;2025-03-20;13.200;10.000
1402;73230;Kirchheim;2025-09-01;16.200;10.000
1402;77933;Lahr;2025-09-13;10.010;10.010
1413;08058;Zwickau;2025-09-01;0.900;0.800
1409;48493;Wettringen;2025-09-12;5.340;5.340
1402;77716;Haslach;2025-09-10;9.500;9.500
1408;31608;Marklohe;2025-07-22;10.580;10.000
1401;13469;Berlin;2025-09-12;12.150;10.000
1408;21423;Drage;2023-12-22;5.460;5.460
1408;49838;Langen;2025-09-04;75.680;66.600
1413;04288;Leipzig;--- NIX ---;9.600;8.800
1409;44797;Bochum;--- NIX ---;12.000;10.000
1405;34633;Ottrau;2025-09-01;2.000;0.800
1413;04129;Leipzig;2025-09-09;84.480;60.140
1410;76761;Rülzheim;2025-09-15;0.800;0.800
1409;41564;Kaarst;2025-09-15;0.800;0.800
1405;60388;Frankfurt;2025-08-23;0.300;0.300
1409;44534;Lünen;2025-09-15;7.200;7.200
1409;51375;Leverkusen;2025-08-18;7.040;5.000
1408;27367;Horstedt;2025-09-14;2.000;0.800
1405;36326;Antrifttal;2025-09-15;12.880;11.800
1403;82256;Fürstenfeldbruck;2025-09-01;1.800;0.800
1408;26603;Aurich;2025-09-15;1.350;0.800
1403;63811;Stockstadt;2025-08-22;9.765;9.765
1409;50829;Köln;--- NIX ---;9.500;8.000
1409;44339;Dortmund;2024-10-22;10.680;10.000
1400;16540;Hohen Neuendorf;2025-08-01;12.460;10.000
1411;23569;Lübeck;2025-09-12;15.750;15.750
1409;40822;Mettmann;2023-04-03;15.990;12.000
1413;04651;Bad Lausick;2025-05-15;7.040;6.000
1408;49597;Rieste;2025-03-11;10.440;10.000
1409;47229;Duisburg;2025-09-06;14.260;12.000
1409;50171;Kerpen;2025-09-02;11.700;10.000
1409;41564;Kaarst;2025-09-08;9.500;9.500
1403;96231;Bad Staffelstein;2025-09-02;15.300;15.000
1410;56424;Moschheim;2025-07-10;10.800;10.800
1402;73257;Köngen;2025-09-15;0.910;0.800
1411;23738;Damlos;2025-09-01;2.250;2.250
1408;21423;Drage;2023-12-22;5.460;5.460
1402;74842;Billigheim;2025-09-02;7.200;7.000
1403;85662;Hohenbrunn;2025-09-09;13.950;12.000
1409;47447;Moers;2025-06-02;5.580;5.000
1408;49733;Haren;2025-09-12;10.800;10.000
1403;92559;Winklarn;2025-09-10;0.800;0.800
1408;48529;Nordhorn;2025-09-08;4.150;4.150
1413;01328;Dresden;2025-09-09;7.280;7.280
1400;15848;Friedland;2025-09-05;0.800;0.800
1408;31535;Neustadt;2025-09-14;1.800;0.800
1407;19205;Roggendorf;2025-09-13;0.800;0.800
1409;45701;Herten;2025-09-08;1.600;0.800
1413;09385;Lugau;2025-09-15;0.800;0.800
1409;47624;Kevelaer;2025-09-15;0.820;0.800
1408;38524;Sassenburg;2025-09-15;0.700;0.600
1408;21423;Drage;2023-12-22;5.460;5.460
1403;91580;Petersaurach;2025-09-10;10.800;10.000
1409;33034;Brakel;2025-09-15;12.000;8.000
1409;41844;Wegberg;2025-09-15;9.900;9.900
1403;86470;Thannhausen;2025-09-15;13.200;10.000
1404;28207;Bremen;2025-09-14;0.430;0.430
1403;91220;Schnaittach;2025-09-06;1.000;0.800
1405;63584;Gründau;2025-08-27;7.740;7.740
1410;53547;Leubsdorf;2025-08-22;12.150;10.000
1402;68305;Mannheim;2025-07-29;12.880;12.000
1403;86316;Friedberg;2025-08-09;0.880;0.800
1413;04571;Rötha;2025-09-15;0.800;0.800
1410;76870;Kandel;2025-09-06;0.880;0.800
1408;49809;Lingen;2022-07-19;14.625;14.625
1408;26188;Edewecht;2025-09-04;24.810;20.000
1409;44577;Castrop-Rauxel;--- NIX ---;13.950;10.000
1402;72229;Rohrdorf;2025-09-13;9.720;4.600
1409;41747;Viersen;2025-09-01;2.000;0.800
1402;71088;Holzgerlingen;2025-07-15;29.370;29.370
1403;82256;Fürstenfeldbruck;2025-09-01;1.800;0.800
1400;15806;Zossen;2016-03-31;4.680;4.680
1409;50735;Köln;2025-09-02;4.050;4.000
1402;76476;Bischweier;2025-01-30;11.250;11.000
1408;27755;Delmenhorst;2025-09-12;6.230;6.000
1415;99988;Heyerode;2025-09-13;10.680;10.000
1402;72768;Reutlingen;2025-09-03;8.100;8.000
1403;97274;Leinach;--- NIX ---;17.580;15.000
1401;13125;Berlin;2025-09-15;0.800;0.800
1411;24837;Schleswig;2025-09-02;5.400;5.000
1409;44879;Bochum;2025-09-15;19.230;12.000
1415;98617;Meiningen;2025-09-15;10.800;10.000
1409;51061;Köln;2025-09-11;7.360;7.360
1403;85253;Erdweg;2025-09-09;12.600;10.000
1410;66989;Petersberg;2025-02-27;72.210;66.000
1406;22455;Hamburg;2025-09-11;8.360;6.000
1402;76571;Gaggenau;2025-09-05;10.350;8.500
1409;33758;Schloß Holte-Stukenbrock;2025-02-17;7.120;6.000
1415;07639;Weißenborn;2024-10-22;7.380;7.380
1409;48291;Telgte;--- NIX ---;1.800;0.800
1414;39393;Am Großen Bruch;--- NIX ---;17.600;17.000
1415;99439;Am Ettersberg;2017-11-15;7.970;7.970
1403;91077;Neunkirchen;2025-09-12;24.920;20.000
1409;42799;Leichlingen;2025-09-15;32.400;20.000
1409;32139;Spenge;2025-08-30;0.002;0.001
1414;06636;Laucha;2025-08-24;0.800;0.800
1411;25709;Marne;2025-08-01;52.440;50.000
1405;35781;Weilburg;2025-08-01;2.000;0.800
1409;59077;Hamm;2025-09-06;2.000;0.800
1414;06295;Lutherstadt Eisleben;2025-09-15;0.800;0.800
1410;67346;Speyer;2025-09-10;8.550;6.000
1408;49835;Wietmarschen;2025-03-21;24.030;24.030
1409;47623;Kevelaer;2025-05-23;10.800;10.000
1409;42799;Leichlingen;2025-09-15;23.850;20.000
1409;51375;Leverkusen;2025-08-29;1.600;0.800
1409;48683;Ahaus;2025-09-15;0.500;0.500
1403;84570;Polling;2024-11-20;85.440;70.000
1403;95659;Arzberg;2025-09-11;6.700;6.700
1413;02894;Sohland;2025-09-01;4.500;4.500
1408;28832;Achim;--- NIX ---;10.350;10.350
1402;71686;Remseck;2025-08-20;13.600;11.000
1409;42799;Leichlingen;2025-09-15;27.900;20.000
1403;81827;München;2025-09-08;9.900;9.900
1413;01558;Großenhain;2025-09-15;6.230;5.000
1403;92421;Schwandorf;2025-09-01;10.005;10.000
1408;28857;Syke;2025-09-02;13.640;10.000
1408;27367;Sottrum;2025-09-15;3.600;1.600
1412;66798;Wallerfangen;2025-08-11;7.120;6.000
1410;66955;Pirmasens;2025-09-12;13.200;10.000
1409;53340;Meckenheim;2025-09-09;24.750;24.750
1405;64839;Münster;2025-09-15;0.455;0.400
1402;78239;Rielasingen-Worblingen;2025-09-13;1.365;0.800
1412;66693;Mettlach;2025-09-09;19.140;17.000
1415;98587;Steinbach-Hallenberg;2023-07-09;5.100;5.100
1411;24217;Bendfeld;2025-09-12;6.300;6.000
1405;65620;Waldbrunn;2025-08-19;13.350;10.000
1409;59514;Welver;2025-06-04;11.280;10.100
1409;47447;Moers;2025-09-15;2.000;0.800
1402;78120;Furtwangen;2025-09-12;6.640;6.000
1408;31863;Coppenbrügge;2025-09-13;1.000;0.400
1403;85368;Moosburg;2025-09-15;2.000;0.800
1403;95469;Speichersdorf;2025-07-12;12.900;12.000
1403;96126;Maroldsweisach;2025-08-29;6.300;5.000
1409;33106;Paderborn;2025-09-15;12.600;10.000
1403;92533;Wernberg-Köblitz;2025-08-06;54.740;50.000
1409;51371;Leverkusen;2025-08-27;5.340;5.000
1405;61130;Nidderau;2025-09-15;9.000;8.000
1411;24805;Hamdorf;2025-09-08;11.250;10.000
1402;88709;Hagnau;2025-08-04;20.160;20.160
1408;27639;Wurster Nordseeküste;2025-09-17;18.200;18.200
1409;52066;Aachen;2025-08-22;0.600;0.600
1413;08294;Lößnitz;2025-09-15;0.880;0.800
1402;72351;Geislingen;2025-09-02;9.960;8.000
1403;94551;Lalling;2025-09-09;24.570;24.570
1403;85604;Zorneding;2025-09-15;0.945;0.945
1409;44225;Dortmund;2025-09-08;21.600;21.600
1413;09306;Königshain-Wiederau;2025-06-27;6.090;6.000
1413;09128;Chemnitz;2025-09-11;6.720;6.000
1400;15711;Königs Wusterhausen;--- NIX ---;7.120;7.120
1403;89407;Dillingen;2025-09-15;11.700;11.700
1400;16562;Hohen Neuendorf;2025-09-10;2.000;0.800
1403;90513;Zirndorf;2025-09-15;0.860;0.800
1402;71672;Marbach;--- NIX ---;9.000;9.000
1400;14532;Stahnsdorf;2025-09-15;10.800;10.000
1400;16515;Oranienburg;2025-09-13;2.000;0.800
1400;17268;Gerswalde;2025-09-14;15.300;15.000
1403;84184;Tiefenbach;2025-09-06;2.000;0.800
1403;91126;Schwabach;2025-05-02;6.675;6.675
1400;16949;Putlitz;2025-09-14;0.890;0.800
1400;03054;Cottbus;2025-09-12;1.720;0.800
1407;18055;Rostock;2025-09-15;15.300;10.000
1405;65479;Raunheim;2025-09-15;14.720;12.000
1403;85101;Lenting;2025-08-22;0.880;0.800
1403;92421;Schwandorf;--- NIX ---;70.380;59.800
1405;61389;Schmitten;2025-08-26;5.800;5.000
1410;67822;Münsterappel;2025-08-05;5.160;5.000
1413;08393;Meerane;2025-02-11;1.980;1.980
1408;38228;Salzgitter;2025-09-15;0.500;0.500
1402;89520;Heidenheim;2025-08-26;1.000;0.800
1407;23992;Neukloster;2025-09-15;139.040;114.000
1409;58540;Meinerzhagen;2023-07-21;11.070;10.000
1409;44879;Bochum;2025-09-09;7.200;7.200
1405;65934;Frankfurt;2025-09-15;2.000;0.800
1409;53797;Lohmar;2025-09-15;11.700;10.000
1401;14050;Berlin;--- NIX ---;0.800;0.800
1402;71083;Herrenberg;2025-09-15;0.880;0.600
1409;32339;Espelkamp;2025-09-15;9.300;8.000
1405;35075;Gladenbach;2025-09-15;9.800;9.800
1409;48163;Münster;2025-09-15;7.920;7.920
1410;54492;Zeltingen-Rachtig;2025-08-16;0.600;0.600
1409;33449;Langenberg;2025-09-13;10.080;10.000
1411;22952;Lütjensee;2025-09-15;2.000;0.800
1402;71287;Weissach;2025-08-26;36.400;36.400
1402;74523;Schwäbisch Hall;2025-07-08;11.250;10.000
1407;23968;Wismar;2025-09-12;5.040;4.600
1403;82205;Gilching;2025-01-31;2.755;2.400
1412;66424;Homburg;2025-09-15;1.000;1.000
1402;74076;Heilbronn;--- NIX ---;1.780;0.800
1410;67136;Fußgönheim;2025-09-15;24.650;24.650
1409;33449;Langenberg;2025-09-13;10.080;10.000
1402;75015;Bretten;2025-09-01;4.050;4.050
